Timestamp,AccelX,AccelY,AccelZ
0,-0.126785,0.036224,-1.086731
0.0105308,-0.108673,0.036224,-1.086731
0.0212341,-0.126785,0.054337,-1.086731
0.0312533,-0.126785,0.036224,-1.086731
0.0407105,-0.126785,0.036224,-1.086731
0.0514676,-0.108673,0.036224,-1.086731
0.061504,-0.126785,0.036224,-1.086731
0.0716548,-0.108673,0.036224,-1.104843
0.0818189,-0.108673,0.036224,-1.086731
0.0919801,-0.108673,0.036224,-1.086731
0.102235,-0.108673,0.036224,-1.068619
0.112313,-0.126785,0.036224,-1.086731
0.122469,-0.108673,0.036224,-1.086731
0.132623,-0.126785,0.036224,-1.068619
0.14278,-0.126785,0.054337,-1.068619
0.153049,-0.126785,0.036224,-1.086731
0.163119,-0.126785,0.036224,-1.086731
0.173288,-0.126785,0.036224,-1.086731
0.183444,-0.108673,0.036224,-1.086731
0.193616,-0.108673,0.036224,-1.068619
0.203675,-0.126785,0.036224,-1.086731
0.213831,-0.108673,0.036224,-1.086731
0.223985,-0.126785,0.036224,-1.086731
0.234149,-0.108673,0.036224,-1.086731
0.244306,-0.108673,0.036224,-1.086731
0.254501,-0.108673,0.054337,-1.086731
0.264699,-0.108673,0.036224,-1.086731
0.274949,-0.126785,0.036224,-1.086731
0.285103,-0.108673,0.036224,-1.086731
0.295194,-0.126785,0.036224,-1.086731
0.305349,-0.108673,0.036224,-1.068619
0.315058,-0.108673,0.036224,-1.086731
0.326031,-0.126785,0.036224,-1.086731
0.336118,-0.108673,0.036224,-1.068619
0.346216,-0.108673,0.054337,-1.068619
0.356147,-0.108673,0.036224,-1.068619
0.366541,-0.108673,0.054337,-1.086731
0.376684,-0.126785,0.036224,-1.068619
0.386732,-0.108673,0.054337,-1.068619
0.397081,-0.126785,0.036224,-1.086731
0.407238,-0.108673,0.036224,-1.086731
0.417402,-0.126785,0.036224,-1.104843
0.427569,-0.108673,0.054337,-1.086731
0.43772,-0.108673,0.036224,-1.086731
0.447883,-0.108673,0.036224,-1.086731
0.458054,-0.126785,0.036224,-1.086731
0.468206,-0.108673,0.054337,-1.086731
0.477846,-0.108673,0.036224,-1.086731
0.488373,-0.108673,0.054337,-1.068619
0.498765,-0.108673,0.036224,-1.086731
0.508936,-0.108673,0.036224,-1.086731
0.519182,-0.108673,0.054337,-1.086731
0.52911,-0.108673,0.054337,-1.086731
0.539332,-0.108673,0.036224,-1.086731
0.549576,-0.108673,0.036224,-1.086731
0.559961,-0.126785,0.036224,-1.086731
0.5701,-0.108673,0.054337,-1.068619
0.580321,-0.108673,0.054337,-1.086731
0.590351,-0.126785,0.036224,-1.068619
0.601409,-0.108673,0.036224,-1.086731
0.610335,-0.108673,0.036224,-1.086731
0.620207,-0.108673,0.036224,-1.086731
0.632951,-0.126785,0.036224,-1.068619
0.641251,-0.126785,0.036224,-1.086731
0.651389,-0.108673,0.054337,-1.086731
0.661583,-0.108673,0.036224,-1.086731
0.671644,-0.126785,0.036224,-1.086731
0.68179,-0.108673,0.036224,-1.086731
0.691941,-0.108673,0.036224,-1.086731
0.70224,-0.126785,0.036224,-1.086731
0.712279,-0.108673,0.054337,-1.068619
0.722428,-0.108673,0.054337,-1.068619
0.732596,-0.108673,0.036224,-1.086731
0.742755,-0.108673,0.036224,-1.068619
0.752959,-0.126785,0.054337,-1.086731
0.763115,-0.090561,0.036224,-1.086731
0.773287,-0.108673,0.036224,-1.086731
0.783439,-0.108673,0.036224,-1.086731
0.793621,-0.126785,0.036224,-1.068619
0.803834,-0.108673,0.036224,-1.086731
0.813934,-0.126785,0.036224,-1.068619
0.8241,-0.126785,0.036224,-1.086731
0.834271,-0.126785,0.036224,-1.068619
0.844427,-0.126785,0.036224,-1.086731
0.854746,-0.108673,0.036224,-1.086731
0.864828,-0.108673,0.036224,-1.086731
0.875075,-0.126785,0.036224,-1.086731
0.885182,-0.108673,0.036224,-1.068619
0.895332,-0.108673,0.036224,-1.086731
0.90559,-0.108673,0.036224,-1.086731
0.915685,-0.108673,0.054337,-1.086731
0.925842,-0.108673,0.036224,-1.086731
0.936038,-0.108673,0.036224,-1.086731
0.946171,-0.126785,0.036224,-1.086731
0.956988,-0.108673,0.036224,-1.068619
0.966729,-0.108673,0.036224,-1.104843
0.976686,-0.108673,0.036224,-1.086731
0.986718,-0.108673,0.036224,-1.086731
0.997078,-0.108673,0.036224,-1.086731
1.00723,-0.126785,0.036224,-1.068619
1.0174,-0.108673,0.054337,-1.068619
1.02772,-0.108673,0.036224,-1.068619
1.03787,-0.108673,0.036224,-1.086731
1.04802,-0.108673,0.036224,-1.086731
1.05819,-0.108673,0.036224,-1.086731
1.06842,-0.108673,0.054337,-1.086731
1.07856,-0.108673,0.054337,-1.086731
1.08871,-0.108673,0.054337,-1.068619
1.09885,-0.108673,0.036224,-1.086731
1.10902,-0.108673,0.054337,-1.086731
1.1192,-0.126785,0.036224,-1.068619
1.12936,-0.108673,0.036224,-1.086731
1.13951,-0.108673,0.054337,-1.086731
1.14967,-0.108673,0.036224,-1.086731
1.15992,-0.108673,0.036224,-1.068619
1.17,-0.108673,0.054337,-1.086731
1.18017,-0.108673,0.036224,-1.068619
1.19044,-0.108673,0.036224,-1.086731
1.20052,-0.108673,0.036224,-1.086731
1.21067,-0.126785,0.054337,-1.086731
1.22083,-0.108673,0.036224,-1.086731
1.23099,-0.126785,0.036224,-1.068619
1.24115,-0.126785,0.036224,-1.086731
1.25134,-0.126785,0.036224,-1.068619
1.26149,-0.126785,0.036224,-1.086731
1.27164,-0.108673,0.036224,-1.068619
1.28182,-0.108673,0.054337,-1.086731
1.29198,-0.108673,0.036224,-1.086731
1.30214,-0.126785,0.036224,-1.068619
1.3123,-0.108673,0.054337,-1.086731
1.32246,-0.108673,0.036224,-1.068619
1.33262,-0.108673,0.054337,-1.086731
1.3428,-0.108673,0.054337,-1.086731
1.35294,-0.108673,0.036224,-1.086731
1.36315,-0.108673,0.036224,-1.086731
1.37331,-0.108673,0.054337,-1.086731
1.38345,-0.126785,0.036224,-1.068619
1.39363,-0.126785,0.054337,-1.086731
